hz,head,flow,power
50,117.9346593,0,3.32
50,115.8280144,29.076787,3.69
50,113.9334702,56.96728439,4.13
50,110.918425,86.08007889,4.71
50,106.5167525,115.119339,5.39
50,100.6896144,144.2217887,5.98
50,93.60354614,172.2959686,6.47
50,84.17477493,201.1005326,6.93
50,72.85097249,229.9961938,7.31
50,59.30533753,258.3012879,7.63
